,statefips,statename,stateabbrev,state_pop2019,year,month,day,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
0,1,Alabama,AL,4903185,2020,2,24,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.00286,-0.0071400000000000005,.0557,.06,0.0129,0.00857,-0.00798
1,1,Alabama,AL,4903185,2020,2,25,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0186,0.00143,.11,.0714,0.01,0.00571,-0.00519
2,1,Alabama,AL,4903185,2020,2,26,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0357,0.0071400000000000005,.111,.0814,0.00857,0.0042899999999999995,-0.00359
3,1,Alabama,AL,4903185,2020,2,27,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0629,0.0243,.167,.0957,0.0114,-0.00143,0.00216
4,1,Alabama,AL,4903185,2020,2,28,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0757,0.0329,.179,.0971,0.0114,-0.00286,0.0035399999999999997
5,1,Alabama,AL,4903185,2020,2,29,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.09,0.0414,.191,.107,0.01,-0.00571,0.00855
6,1,Alabama,AL,4903185,2020,3,1,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.109,0.0529,.233,.114,0.0129,-0.00857,0.0144
7,1,Alabama,AL,4903185,2020,3,2,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.12300000000000001,0.0629,.249,.119,0.0186,-0.0114,0.0177
8,1,Alabama,AL,4903185,2020,3,3,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.141,0.08,.257,.116,0.0229,-0.0129,0.0191
9,1,Alabama,AL,4903185,2020,3,4,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.129,0.0729,.236,.103,0.0229,-0.01,0.0159
10,1,Alabama,AL,4903185,2020,3,5,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.121,0.0729,.216,.0957,0.0229,-0.0071400000000000005,0.0131
11,1,Alabama,AL,4903185,2020,3,6,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.11699999999999999,0.07,.229,.0957,0.0243,-0.0071400000000000005,0.0131
12,1,Alabama,AL,4903185,2020,3,7,0,0,0,0.0,0.0,0,.,0,0,.,0,0,.,0.113,0.0671,.24,.0929,0.0271,-0.00571,0.0106
13,1,Alabama,AL,4903185,2020,3,8,0,0,0,0.0,0.0,0,.,0,0,.,0,0,.,0.107,0.0643,.243,.0914,0.0257,-0.0042899999999999995,0.007659999999999999
14,1,Alabama,AL,4903185,2020,3,9,0,0,0,0.0,0.0,0,.,0,0,.,0,0,.,0.11,0.07,.31,.0971,0.0257,-0.00571,0.00935
15,1,Alabama,AL,4903185,2020,3,10,0,0,0,0.0,0.0,0,.,0,0,.,0,0,.,0.0943,0.06,.293,.0957,0.0243,-0.0042899999999999995,0.00796
16,1,Alabama,AL,4903185,2020,3,11,0,0,10,0.0,0.0,.204,0,0,0,.,0,0,.,0.0986,0.0714,.343,.103,0.0257,-0.0071400000000000005,0.0112
17,1,Alabama,AL,4903185,2020,3,12,0,0,10,0.0,0.0,.204,.,0,0,.,0,0,.,0.10300000000000001,0.0943,.404,.109,0.0243,-0.01,0.013999999999999999
18,1,Alabama,AL,4903185,2020,3,13,6,0,12,0.122,0.0,.245,3,.0175,0,.,1,0,.,0.1,0.134,.4,.104,0.0186,-0.00857,0.0126
19,1,Alabama,AL,4903185,2020,3,14,12,0,28,0.245,0.0,.571,.375,.035,0,.0816,2,0,4,0.0843,0.163,.389,.0957,0.0143,-0.00571,0.007640000000000001
20,1,Alabama,AL,4903185,2020,3,15,23,0,40,0.469,0.0,.816,.917,.067,0,.117,3,0,6,0.0571,0.174,.333,.0757,0.0042899999999999995,-0.00143,-0.00108
21,1,Alabama,AL,4903185,2020,3,16,29,0,56,0.591,0.0,1.14,.375,.0845,0,.163,4,0,8,0.04,0.19699999999999998,.3,.0657,-0.0129,0.00571,-0.00955
22,1,Alabama,AL,4903185,2020,3,17,39,0,64,0.795,0.0,1.31,1.25,.114,0,.186,6,0,9,0.0114,0.21,.306,.0586,-0.0386,0.0157,-0.0193
23,1,Alabama,AL,4903185,2020,3,18,51,0,74,1.04,0.0,1.51,1.2,.149,0,.186,7,0,9,-0.0214,0.217,.323,.0443,-0.0714,0.0286,-0.0337
24,1,Alabama,AL,4903185,2020,3,19,78,0,96,1.59,0.0,1.96,1.23,.227,0,.251,11,0,12,-0.0643,0.207,.3,.0214,-0.109,0.0443,-0.0495
25,1,Alabama,AL,4903185,2020,3,20,106,0,109,2.16,0.0,2.22,2.15,.291,0,.283,14,0,14,-0.113,0.17600000000000002,.273,-.00857,-0.147,0.0643,-0.0689
26,1,Alabama,AL,4903185,2020,3,21,131,0,152,2.67,0.0,3.1,.581,.347,0,.361,17,0,18,-0.16399999999999998,0.14300000000000002,.209,-.0443,-0.17600000000000002,0.0757,-0.0889
27,1,Alabama,AL,4903185,2020,3,22,157,0,1602,3.2,0.0,32.7,.0179,.39,0,4.55,19,0,223,-0.21100000000000002,0.11,.189,-.0843,-0.209,0.0857,-0.109
28,1,Alabama,AL,4903185,2020,3,23,196,0,1832,4.0,0.0,37.4,.17,.487,0,5.17,24,0,254,-0.256,0.0671,.141,-.119,-0.24100000000000002,0.1,-0.126
29,1,Alabama,AL,4903185,2020,3,24,242,0,2321,4.94,0.0,47.3,.0941,.591,0,6.58,29,0,322,-0.28600000000000003,0.0357,.111,-.143,-0.266,0.111,-0.13699999999999998
30,1,Alabama,AL,4903185,2020,3,25,386,1,2812,7.87,0.0204,57.4,.293,.976,.00291,7.98,48,0,391,-0.307,0.0114,.107,-.16,-0.28600000000000003,0.11900000000000001,-0.145
